date,username,time,task,computer,stimfile
06/17/2016,gru,17-Jun-2016 17:46:02,somdisPS.m,oban.stanford.edu,~/data/somdisPS/s339/160617_stim01.mat
06/17/2016,gru,17-Jun-2016 17:56:19,somdisPS.m,oban.stanford.edu,~/data/somdisPS/s339/160617_stim02.mat
06/17/2016,gru,17-Jun-2016 18:04:58,somdisNS.m,oban.stanford.edu,~/data/somdisNS/s339/160617_stim03.mat
06/17/2016,gru,17-Jun-2016 18:12:41,somdisNS.m,oban.stanford.edu,~/data/somdisNS/s339/160617_stim04.mat
06/17/2016,gru,17-Jun-2016 18:20:26,somdisNS.m,oban.stanford.edu,~/data/somdisNS/s339/160617_stim05.mat
06/17/2016,gru,17-Jun-2016 18:28:04,somdisNS.m,oban.stanford.edu,~/data/somdisNS/s339/160617_stim06.mat
