date,username,time,task,computer,stimfile
12/16/2016,gru,16-Dec-2016 12:23:09,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s385/161216_stim27.mat
12/16/2016,gru,16-Dec-2016 12:26:10,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s385/161216_stim28.mat
12/16/2016,gru,16-Dec-2016 12:34:22,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s385/161216_stim29.mat
12/16/2016,gru,16-Dec-2016 12:37:54,somTestDelta.m,dubonnet.stanford.edu,~/data/somTestDelta/s385/161216_stim30.mat
12/16/2016,gru,16-Dec-2016 12:55:33,somFixedDelta.m,dubonnet.stanford.edu,~/data/somFixedDelta/s385/161216_stim31.mat
12/16/2016,gru,16-Dec-2016 13:15:00,somFixedDelta.m,dubonnet.stanford.edu,~/data/somFixedDelta/s385/161216_stim32.mat
12/19/2016,gru,19-Dec-2016 13:52:16,somGetDelta.m,dubonnet.stanford.edu,~/data/somGetDelta/s385/161219_stim51.mat
12/19/2016,gru,19-Dec-2016 14:05:48,somFixedFocal.m,dubonnet.stanford.edu,~/data/somFixedFocal/s385/161219_stim52.mat
12/19/2016,gru,19-Dec-2016 14:17:04,somFixedFocal.m,dubonnet.stanford.edu,~/data/somFixedFocal/s385/161219_stim53.mat
12/19/2016,gru,19-Dec-2016 14:30:29,somFixedFocal.m,dubonnet.stanford.edu,~/data/somFixedFocal/s385/161219_stim54.mat
